,Sex,Race/Ethnicity,Age Group,Year,Injuries,Population,Female,Male,Black,Hispanic,Other Non-Hispanic,White Non-Hispanice,00-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
118,Male,Black,00-04,2008,0,1695717,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Male,Hispanic,00-04,2008,0,2407689,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Male,Other Non-Hispanic,00-04,2008,0,633396,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Female,White Non-Hispanice,00-04,2008,0,5347779,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,Female,Black,00-04,2008,0,1640071,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,Female,Hispanic,00-04,2008,0,2312214,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,Female,Other Non-Hispanic,00-04,2008,0,614119,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,Male,White Non-Hispanice,00-04,2009,0,5545227,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,Male,Black,00-04,2009,0,1721306,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,Male,Hispanic,00-04,2009,0,2435571,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,Male,Other Non-Hispanic,00-04,2009,0,639985,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,Female,White Non-Hispanice,00-04,2009,0,5277904,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,Female,Black,00-04,2009,0,1666002,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,Female,Hispanic,00-04,2009,0,2339161,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,Female,Other Non-Hispanic,00-04,2009,0,619362,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,Male,White Non-Hispanice,00-04,2010,0,5505398,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,Male,Black,00-04,2010,0,1729446,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,Male,Hispanic,00-04,2010,0,2442388,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,Male,Other Non-Hispanic,00-04,2010,0,642220,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,Female,White Non-Hispanice,00-04,2010,0,5241344,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,Female,Black,00-04,2010,0,1673854,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,Female,Hispanic,00-04,2010,0,2345586,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,Female,Other Non-Hispanic,00-04,2010,0,621190,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Male,White Non-Hispanice,00-04,2011,0,5438218,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,Male,Black,00-04,2011,0,1733859,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,Male,Hispanic,00-04,2011,0,2462711,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,Male,Other Non-Hispanic,00-04,2011,0,644930,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,Female,White Non-Hispanice,00-04,2011,0,5178724,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,Female,Black,00-04,2011,0,1675428,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,Female,Hispanic,00-04,2011,0,2367760,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,Female,Other Non-Hispanic,00-04,2011,0,621473,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,Male,White Non-Hispanice,00-04,2012,0,5380635,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,Male,Black,00-04,2012,0,1724583,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Male,Hispanic,00-04,2012,0,2450869,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,Male,Other Non-Hispanic,00-04,2012,0,648255,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,Female,White Non-Hispanice,00-04,2012,0,5123240,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,Female,Black,00-04,2012,0,1666732,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,Female,Hispanic,00-04,2012,0,2358269,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,Female,Other Non-Hispanic,00-04,2012,0,623483,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,Male,White Non-Hispanice,00-04,2013,0,5334107,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,Male,Black,00-04,2013,0,1715951,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,Male,Hispanic,00-04,2013,0,2435984,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,Male,Other Non-Hispanic,00-04,2013,0,655533,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,Female,White Non-Hispanice,00-04,2013,0,5076015,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,Female,Black,00-04,2013,0,1656494,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,Female,Hispanic,00-04,2013,0,2347512,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,Female,Other Non-Hispanic,00-04,2013,0,627618,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,Male,White Non-Hispanice,00-04,2014,0,5329061,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,Male,Black,00-04,2014,0,1720129,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,Male,Hispanic,00-04,2014,0,2443070,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,Male,Other Non-Hispanic,00-04,2014,0,667292,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,Female,White Non-Hispanice,00-04,2014,0,5064848,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,Female,Black,00-04,2014,0,1659719,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,Female,Hispanic,00-04,2014,0,2352549,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,Female,Other Non-Hispanic,00-04,2014,0,635685,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,Male,White Non-Hispanice,00-04,2015,0,5327757,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,Male,Black,00-04,2015,0,1727806,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,Male,Hispanic,00-04,2015,0,2449939,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,Male,Other Non-Hispanic,00-04,2015,0,681296,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,Female,White Non-Hispanice,00-04,2015,0,5059931,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,Female,Black,00-04,2015,0,1666783,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,Female,Hispanic,00-04,2015,0,2358537,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,Female,Other Non-Hispanic,00-04,2015,0,646056,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,Male,White Non-Hispanice,00-04,2016,0,5309910,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,Male,Black,00-04,2016,0,1731356,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Male,Hispanic,00-04,2016,0,2452830,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,Male,Other Non-Hispanic,00-04,2016,0,693133,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,Female,White Non-Hispanice,00-04,2016,0,5044319,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
